Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
1, CIVILIZATION_LISBON, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_LAHORE, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JOHANNESBURG, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 15, 0, 2, 2, 5, 0, 5, 4
2, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 16, 0, 2, 1, 6, 0, 7, 4
2, CIVILIZATION_VIETNAM, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 18, 0, 2, 1, 8, 0, 4, 4
2, CIVILIZATION_PERSIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 16, 0, 2, 1, 6, 0, 3, 6
2, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 18, 0, 2, 1, 8, 0, 4, 4
2, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 3, 4
2, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 3, 3
2, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 3, 3
2, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 20, 0, 2, 2, 5, 0, 5, 4
3, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 22, 0, 2, 1, 6, 0, 7, 4
3, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 16, 0, 2, 1, 6, 0, 6, 4
3, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 26, 0, 2, 1, 8, 0, 4, 4
3, CIVILIZATION_PERSIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 22, 0, 2, 1, 6, 0, 3, 6
3, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 26, 0, 2, 1, 8, 0, 4, 4
3, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 4
3, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 3
3, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 3
3, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 25, 0, 2, 2, 5, 0, 5, 4
4, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 28, 0, 2, 1, 6, 0, 7, 4
4, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 22, 0, 2, 1, 6, 0, 6, 4
4, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 35, 0, 2, 1, 8, 0, 4, 4
4, CIVILIZATION_PERSIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 28, 0, 2, 1, 6, 0, 3, 6
4, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 35, 0, 2, 1, 8, 0, 4, 4
4, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 3, 4
4, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 3, 3
4, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 3, 3
4, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 30, 0, 2, 2, 5, 0, 5, 4
5, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 36, 0, 2, 1, 8, 0, 7, 4
5, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 28, 0, 2, 1, 6, 0, 6, 4
5, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 43, 0, 3, 1, 8, 0, 4, 4
5, CIVILIZATION_PERSIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 34, 0, 2, 1, 6, 0, 3, 6
5, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 43, 1, 2, 1, 8, 1, 4, 4
5, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 3, 4
5, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 3, 3
5, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 3, 3
5, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 35, 0, 2, 2, 5, 0, 5, 4
6, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 44, 0, 2, 1, 8, 0, 7, 4
6, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 34, 0, 2, 1, 6, 0, 6, 4
6, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 51, 0, 3, 1, 8, 0, 4, 4
6, CIVILIZATION_PERSIA, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 40, 0, 3, 1, 6, 0, 4, 8
6, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 51, 2, 2, 1, 8, 1, 4, 4
6, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 3, 4
6, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 2, 4
6, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 2, 4
6, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 2, 4
6, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 3, 3
6, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 2, 4
6, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 3, 3
6, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 2, 4
6, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 0, 2, 1, 5, 0, 2, 4
6, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 8, 0, 40, 0, 2, 2, 5, 0, 5, 4
7, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 53, 0, 2, 1, 8, 0, 7, 4
7, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 40, 0, 2, 1, 6, 0, 6, 4
7, CIVILIZATION_JAPAN, 1, 1, 0, 0, 0, 0, 0, 0, 7, 0, 60, 0, 3, 1, 8, 0, 4, 4
7, CIVILIZATION_PERSIA, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 46, 0, 3, 1, 6, 0, 4, 8
7, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 60, 3, 2, 1, 8, 1, 4, 4
7, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 3, 4
7, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 2, 4
7, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 2, 4
7, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 2, 4
7, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 3, 3
7, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 2, 4
7, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 3, 3
7, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 2, 4
7, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 40, 0, 2, 1, 5, 0, 2, 4
7, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 8, 0, 45, 0, 2, 2, 5, 0, 5, 4
8, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 61, 0, 2, 1, 8, 0, 7, 4
8, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 46, 0, 2, 1, 6, 0, 6, 4
8, CIVILIZATION_JAPAN, 1, 1, 0, 0, 0, 0, 0, 0, 7, 0, 68, 0, 3, 1, 8, 0, 4, 4
8, CIVILIZATION_PERSIA, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 52, 0, 3, 1, 6, 0, 4, 8
8, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 68, 4, 2, 1, 8, 1, 4, 4
8, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 3, 4
8, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 2, 4
8, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 2, 4
8, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 2, 4
8, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 3, 3
8, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 2, 4
8, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 3, 3
8, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 2, 4
8, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 45, 0, 2, 1, 5, 0, 2, 4
8, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_SCOTLAND, 1, 1, 0, 0, 1, 0, 0, 0, 8, 0, 100, 0, 2, 2, 5, 0, 5, 4
9, CIVILIZATION_ZULU, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 72, 0, 2, 1, 10, 0, 7, 4
9, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 52, 0, 2, 1, 6, 0, 6, 4
9, CIVILIZATION_JAPAN, 1, 1, 1, 0, 0, 0, 0, 0, 7, 0, 77, 0, 3, 1, 8, 0, 4, 4
9, CIVILIZATION_PERSIA, 1, 2, 0, 0, 1, 0, 0, 0, 8, 0, 58, 0, 3, 1, 6, 0, 3, 10
9, CIVILIZATION_GAUL, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 77, 5, 2, 1, 8, 1, 4, 4
9, CIVILIZATION_MUSCAT, 1, 1, 0, 0, 2, 0, 0, 0, 7, 1, 50, 0, 2, 1, 5, 0, 3, 4
9, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 50, 0, 2, 1, 5, 0, 2, 4
9, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 50, 0, 2, 1, 5, 0, 2, 4
9, CIVILIZATION_HUNZA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 50, 0, 2, 1, 5, 0, 2, 4
9, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 1, 50, 0, 2, 1, 5, 0, 2, 5
9, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 50, 0, 2, 1, 5, 0, 2, 4
9, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 50, 0, 2, 1, 5, 0, 3, 3
9, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 50, 0, 2, 1, 5, 0, 2, 4
9, CIVILIZATION_JOHANNESBURG, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 50, 0, 2, 1, 5, 0, 2, 4
9, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, CIVILIZATION_SCOTLAND, 1, 2, 0, 1, 1, 0, 0, 0, 8, 0, 105, 1, 3, 2, 6, 1, 7, 6
10, CIVILIZATION_ZULU, 1, 2, 0, 0, 1, 0, 0, 0, 8, 1, 83, 1, 3, 1, 10, 1, 9, 6
10, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 58, 0, 2, 1, 6, 0, 6, 4
10, CIVILIZATION_JAPAN, 1, 2, 1, 0, 0, 0, 0, 0, 8, 0, 87, 0, 4, 1, 10, 0, 6, 6
10, CIVILIZATION_PERSIA, 1, 2, 1, 0, 1, 0, 0, 0, 8, 0, 64, 0, 3, 1, 6, 0, 3, 10
10, CIVILIZATION_GAUL, 1, 2, 0, 0, 1, 0, 0, 0, 8, 0, 85, 6, 3, 1, 8, 1, 4, 7
10, CIVILIZATION_MUSCAT, 1, 2, 0, 0, 2, 0, 0, 0, 7, 1, 55, 0, 3, 1, 5, 0, 4, 6
10, CIVILIZATION_VATICAN_CITY, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 55, 0, 3, 1, 5, 0, 3, 6
10, CIVILIZATION_JAKARTA, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 55, 0, 3, 1, 5, 0, 3, 5
10, CIVILIZATION_HUNZA, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 55, 0, 3, 1, 5, 0, 2, 7
10, CIVILIZATION_BOLOGNA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 2, 55, 0, 2, 1, 5, 0, 2, 5
10, CIVILIZATION_VILNIUS, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 55, 0, 3, 1, 5, 0, 2, 6
10, CIVILIZATION_LISBON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 55, 0, 2, 1, 5, 0, 3, 3
10, CIVILIZATION_LAHORE, 1, 2, 0, 0, 2, 0, 0, 0, 7, 1, 55, 0, 3, 1, 5, 0, 2, 8
10, CIVILIZATION_JOHANNESBURG, 1, 2, 0, 0, 2, 0, 0, 0, 7, 1, 55, 0, 3, 1, 5, 0, 2, 8
10, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, CIVILIZATION_SCOTLAND, 1, 2, 1, 1, 1, 0, 0, 0, 8, 0, 111, 2, 3, 2, 6, 1, 7, 6
11, CIVILIZATION_ZULU, 1, 2, 1, 0, 1, 0, 0, 0, 8, 1, 93, 2, 3, 1, 10, 1, 9, 6
11, CIVILIZATION_VIETNAM, 1, 2, 0, 0, 1, 0, 0, 0, 8, 0, 64, 0, 3, 1, 6, 0, 8, 6
11, CIVILIZATION_JAPAN, 1, 2, 1, 0, 0, 0, 0, 0, 8, 0, 98, 0, 4, 1, 10, 0, 6, 6
11, CIVILIZATION_PERSIA, 1, 3, 1, 0, 0, 0, 0, 0, 8, 0, 70, 0, 3, 2, 6, 0, 4, 12
11, CIVILIZATION_GAUL, 1, 2, 1, 0, 1, 0, 0, 0, 8, 0, 93, 7, 3, 1, 8, 1, 4, 7
11, CIVILIZATION_MUSCAT, 1, 2, 1, 0, 2, 0, 0, 0, 7, 1, 60, 0, 3, 1, 5, 0, 4, 6
11, CIVILIZATION_VATICAN_CITY, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 60, 0, 3, 1, 5, 0, 3, 6
11, CIVILIZATION_JAKARTA, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 60, 0, 3, 1, 5, 0, 3, 5
11, CIVILIZATION_HUNZA, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 60, 0, 3, 1, 5, 0, 2, 7
11, CIVILIZATION_BOLOGNA, 1, 1, 1, 0, 1, 0, 0, 0, 7, 2, 60, 0, 2, 1, 5, 0, 2, 5
11, CIVILIZATION_VILNIUS, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 60, 0, 3, 1, 5, 0, 2, 6
11, CIVILIZATION_LISBON, 1, 1, 1, 0, 2, 0, 0, 0, 7, 0, 60, 0, 2, 1, 5, 0, 3, 3
11, CIVILIZATION_LAHORE, 1, 2, 1, 0, 2, 0, 0, 0, 7, 1, 60, 0, 3, 1, 5, 0, 2, 8
11, CIVILIZATION_JOHANNESBURG, 1, 2, 1, 0, 2, 0, 0, 0, 7, 1, 60, 0, 3, 1, 5, 0, 2, 8
11, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, CIVILIZATION_SCOTLAND, 1, 2, 1, 1, 1, 0, 0, 0, 8, 0, 117, 3, 3, 2, 6, 1, 7, 6
12, CIVILIZATION_ZULU, 1, 2, 1, 0, 1, 0, 0, 0, 8, 1, 104, 3, 3, 1, 10, 1, 9, 6
12, CIVILIZATION_VIETNAM, 1, 2, 1, 0, 1, 0, 0, 0, 8, 1, 70, 0, 3, 1, 6, 0, 8, 6
12, CIVILIZATION_JAPAN, 1, 2, 1, 0, 0, 0, 0, 0, 8, 0, 109, 0, 4, 1, 10, 0, 6, 6
12, CIVILIZATION_PERSIA, 1, 3, 1, 0, 0, 0, 0, 0, 8, 0, 76, 0, 3, 2, 6, 0, 4, 12
12, CIVILIZATION_GAUL, 1, 2, 1, 0, 1, 0, 0, 0, 8, 0, 102, 8, 3, 1, 8, 1, 4, 7
12, CIVILIZATION_MUSCAT, 1, 2, 1, 0, 2, 0, 0, 0, 7, 1, 65, 0, 3, 1, 5, 0, 4, 6
12, CIVILIZATION_VATICAN_CITY, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 65, 0, 3, 1, 5, 0, 3, 6
12, CIVILIZATION_JAKARTA, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 65, 0, 3, 1, 5, 0, 3, 5
12, CIVILIZATION_HUNZA, 1, 2, 1, 0, 2, 0, 0, 0, 7, 1, 65, 0, 3, 1, 5, 0, 2, 7
12, CIVILIZATION_BOLOGNA, 1, 2, 1, 0, 1, 0, 0, 0, 7, 2, 65, 0, 3, 1, 5, 0, 3, 6
12, CIVILIZATION_VILNIUS, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 65, 0, 3, 1, 5, 0, 2, 6
12, CIVILIZATION_LISBON, 1, 1, 1, 0, 2, 0, 0, 0, 7, 0, 65, 0, 2, 1, 5, 0, 3, 3
12, CIVILIZATION_LAHORE, 1, 2, 1, 0, 2, 0, 0, 0, 7, 1, 65, 0, 3, 1, 5, 0, 2, 8
12, CIVILIZATION_JOHANNESBURG, 1, 2, 1, 0, 2, 0, 0, 0, 7, 2, 65, 0, 3, 1, 5, 0, 2, 8
